gene,day,gDNA,mRNA
HNRNPLL,day 5,-0.2,-0.24
HNRNPLL,day 13,1.12,0.82
HNRNPLL,day 21,1.55,1.09
HNRNPM,day 5,0.31,-0.31
HNRNPM,day 13,-0.43,-0.94
HNRNPM,day 21,-0.88,-1.23
HNRNPR,day 5,0.55,0.24
HNRNPR,day 13,0.7,1.03
HNRNPR,day 21,1.41,1.95
HNRNPU,day 5,0.33,-0.05
HNRNPU,day 13,-1.27,-2.58
HNRNPU,day 21,-1.71,-2.24
HNRNPUL1,day 5,-1.19,0.64
HNRNPUL1,day 13,-0.74,1.31
HNRNPUL1,day 21,1.17,2.15
HNRNPUL2,day 5,-0.57,-0.23
HNRNPUL2,day 13,1.08,0.53
HNRNPUL2,day 21,1.17,1.55
HOOK1,day 5,-0.29,-0.02
HOOK1,day 13,0.12,-0.14
HOOK1,day 21,0.6,0.31
HOXB6,day 5,0.05,0.22
HOXB6,day 13,0.78,0.66
HOXB6,day 21,1.19,1.32
HRH1,day 5,0.07,0.14
HRH1,day 13,1.27,1.22
HRH1,day 21,1.01,2.09
HRH2,day 5,0.68,0.39
HRH2,day 13,2.05,1.41
HRH2,day 21,2.09,2
HSD17B10,day 5,-0.33,0.32
HSD17B10,day 13,-1.07,-2.14
HSD17B10,day 21,-2.7,-5.06
HSP90AA1,day 5,-0.29,0.17
HSP90AA1,day 13,1.08,1.3
HSP90AA1,day 21,1.85,2.22
HSP90AB1,day 5,0.04,0.21
HSP90AB1,day 13,1.08,0.41
HSP90AB1,day 21,1.08,1.18
HSP90B1,day 5,-0.32,-0.52
HSP90B1,day 13,0.22,0.13
HSP90B1,day 21,0.12,0.29
HSPA1A,day 5,-0.12,0.1
HSPA1A,day 13,0.57,0.94
HSPA1A,day 21,1.42,1.65
HSPA1B,day 5,0.38,-0.02
HSPA1B,day 13,0.21,0.9
HSPA1B,day 21,1.76,1.58
HSPA5,day 5,-1.1,-2.35
HSPA5,day 13,-0.82,-3.76
HSPA5,day 21,-0.11,-2.77
HSPA8,day 5,0.04,-0.26
HSPA8,day 13,-1.34,-2.59
HSPA8,day 21,-2.55,-5.2
HSPA9,day 5,-0.4,-1.02
HSPA9,day 13,-1.45,-5.47
HSPA9,day 21,-1.34,-4.63
HSPB1,day 5,0.38,0.33
HSPB1,day 13,0.86,1.31
HSPB1,day 21,1.24,2.03
HSPD1,day 5,0.26,-0.37
HSPD1,day 13,-1.1,-5.38
HSPD1,day 21,-1.74,-4.71
HSPE1,day 5,-1.27,-0.39
HSPE1,day 13,-0.99,-2.4
HSPE1,day 21,-0.35,-1.57
HTATSF1,day 5,0.45,0.11
HTATSF1,day 13,-0,0.03
HTATSF1,day 21,0.16,-0.09
HUWE1,day 5,0.68,-0.35
HUWE1,day 13,-1.23,-2.28
HUWE1,day 21,-2,-3.73
HYGRO,day 5,0.51,-0.31
HYGRO,day 13,1.01,0.86
HYGRO,day 21,2.22,1.47
IARS1,day 5,0.21,-0.19
IARS1,day 13,-2.35,-4.89
IARS1,day 21,-1.64,-4.44
IARS2,day 5,-1.24,-0.27
IARS2,day 13,-3.43,-5.42
IARS2,day 21,-2.71,-5.02
IBA57,day 5,0.44,0.13
IBA57,day 13,0.22,0.08
IBA57,day 21,-1.6,-2.34
IDH1,day 5,-1.01,-0.13
IDH1,day 13,0.9,0.12
IDH1,day 21,0.31,-0.07
IDH2,day 5,0.7,0.37
IDH2,day 13,1.26,1
IDH2,day 21,1.88,1.49
IFI16,day 5,0.28,-0.01
IFI16,day 13,1.19,1.02
IFI16,day 21,1.27,1.72
IFIH1,day 5,0.11,-0.02
IFIH1,day 13,1.44,1.36
IFIH1,day 21,1.52,2.21
IFIT1,day 5,-0.62,0.1
IFIT1,day 13,0.94,1.2
IFIT1,day 21,0.41,1.99
IFIT1B,day 5,0.23,0.51
IFIT1B,day 13,1.92,1.61
IFIT1B,day 21,2.54,2.6
IFIT2,day 5,-0.19,0.13
IFIT2,day 13,1.21,0.91
IFIT2,day 21,1.2,1.6
IFIT3,day 5,0.43,0
IFIT3,day 13,0.14,0.68
IFIT3,day 21,0.67,1.14
IFIT5,day 5,0.93,0.05
IFIT5,day 13,0.24,0.61
IFIT5,day 21,0.52,0.6
IGF2BP1,day 5,-0.61,0.18
IGF2BP1,day 13,-0.33,1.3
IGF2BP1,day 21,0.28,2.17
IGF2BP2,day 5,-0.21,-0.05
IGF2BP2,day 13,0.43,0.7
IGF2BP2,day 21,0.38,1.14
IGF2BP3,day 5,0.35,-0.13
IGF2BP3,day 13,0.3,0.7
IGF2BP3,day 21,1,1.31
IGHMBP2,day 5,-0.63,-0.03
IGHMBP2,day 13,0.22,0.66
IGHMBP2,day 21,0.17,0.61
ILF2,day 5,0.07,-0.13
ILF2,day 13,-0.78,-0.8
ILF2,day 21,-2.61,-2.11
ILF3,day 5,0.39,0.11
ILF3,day 13,-0.03,-1.04
ILF3,day 21,-0.85,-1.13
IMMT,day 5,0.16,0.21
IMMT,day 13,0.28,-0.23
IMMT,day 21,-0.34,0.15
IMP3,day 5,0.27,-0.26
IMP3,day 13,-2.27,-3.6
IMP3,day 21,-2.15,-4.22
IMP4,day 5,0.16,-0.42
IMP4,day 13,-3.64,-4.62
IMP4,day 21,-3.21,-5.38
INTS1,day 5,-0.18,-0.33
INTS1,day 13,-2.88,-5.18
INTS1,day 21,-2.35,-4.32
INTS10,day 5,0.18,-0.02
INTS10,day 13,-0.01,-0.47
INTS10,day 21,-0.29,-1.11
INTS11,day 5,-1.09,-0.66
INTS11,day 13,-2.69,-5.38
INTS11,day 21,-2.41,-4.46
INTS12,day 5,0.64,0.02
INTS12,day 13,1.27,0.69
INTS12,day 21,1.38,0.68
INTS2,day 5,0.29,-0.63
INTS2,day 13,-1.84,-2.47
INTS2,day 21,-2.92,-2.3
INTS3,day 5,0.2,-0.1
INTS3,day 13,-2.56,-4.76
INTS3,day 21,-1.85,-5.09
INTS4,day 5,-1.23,-0.41
INTS4,day 13,-3.48,-4.98
INTS4,day 21,-2.77,-4.71
INTS5,day 5,-0.23,-1.21
INTS5,day 13,0.41,-4.09
INTS5,day 21,0.5,-3.61
INTS6,day 5,1.38,-0.21
INTS6,day 13,1.93,0.7
INTS6,day 21,1.62,1.03
INTS6L,day 5,-0.15,0.15
INTS6L,day 13,1.14,1.28
INTS6L,day 21,2.19,2.08
INTS7,day 5,-0.36,-0.36
INTS7,day 13,-1.29,-3.44
INTS7,day 21,-1.2,-2.88
INTS8,day 5,0.09,-0.87
INTS8,day 13,-3.52,-3.98
INTS8,day 21,-2.68,-3.93
INTS9,day 5,0.21,-0.19
INTS9,day 13,-1.07,-1.2
INTS9,day 21,-1.17,-1.91
IPO11,day 5,-0.23,0.08
IPO11,day 13,-1.18,-1.91
IPO11,day 21,-0.47,-3.05
IPO13,day 5,0.8,-0.34
IPO13,day 13,-1.79,-3.69
IPO13,day 21,-1.99,-5.19
IPO4,day 5,0.27,0.11
IPO4,day 13,0.67,0.38
IPO4,day 21,1.48,1.04
IPO5,day 5,-0.06,0.04
IPO5,day 13,0.34,0.76
IPO5,day 21,0.12,1.4
IPO7,day 5,-1.72,-0.49
IPO7,day 13,-0.91,-1.77
IPO7,day 21,-0.44,-1.16
IPO8,day 5,-0.04,-0.12
IPO8,day 13,0.09,0.57
IPO8,day 21,0.85,1.18
IPO9,day 5,-0.3,0.04
IPO9,day 13,-0.38,-0.09
IPO9,day 21,-1.21,-1
IQCG,day 5,-0.51,-0.18
IQCG,day 13,0.8,0.71
IQCG,day 21,1.08,1.5
IREB2,day 5,0.47,0.3
IREB2,day 13,0.83,1.15
IREB2,day 21,1.55,1.81
ISCU,day 5,0.18,0.23
ISCU,day 13,-2.29,-3.35
ISCU,day 21,-2.05,-4.5
ISG20,day 5,0.72,0.2
ISG20,day 13,1.67,1.21
ISG20,day 21,2.44,1.8
ISG20L2,day 5,0.34,-0.03
ISG20L2,day 13,-2.59,-4.33
ISG20L2,day 21,-2.01,-4.21
ISY1,day 5,-0.95,-0.67
ISY1,day 13,-2.5,-4.8
ISY1,day 21,-2.47,-4.53
JAKMIP1,day 5,0.21,0.18
JAKMIP1,day 13,1.75,1.46
JAKMIP1,day 21,2.85,2.45
JUN,day 5,0.32,0.27
JUN,day 13,1.86,1.3
JUN,day 21,2.41,2.25
KARS1,day 5,0.42,-0.63
KARS1,day 13,-3.09,-5.52
KARS1,day 21,-2.5,-5.73
KAT8,day 5,0.01,-0.11
KAT8,day 13,-0.95,-3.48
KAT8,day 21,-1.16,-3.51
KCTD12,day 5,0.02,0.06
KCTD12,day 13,0.94,0.93
KCTD12,day 21,0.91,1.06
KDM5A,day 5,0.23,0.31
KDM5A,day 13,1.53,1.67
KDM5A,day 21,2.27,2.4
KHDC1,day 5,0.12,0.21
KHDC1,day 13,1.06,1.12
KHDC1,day 21,1.16,1.6
KHDC1L,day 5,-0.36,0.19
KHDC1L,day 13,0.41,0.82
KHDC1L,day 21,1.09,1.17
KHDRBS1,day 5,-0.42,-0.22
KHDRBS1,day 13,-0.11,-0.25
KHDRBS1,day 21,-0.67,-0.6
KHDRBS2,day 5,-0.2,0.19
KHDRBS2,day 13,0.61,0.53
KHDRBS2,day 21,0.78,1
KHDRBS3,day 5,0.08,-0.01
KHDRBS3,day 13,0.88,1.06
KHDRBS3,day 21,1.38,1.8
KHNYN,day 5,0.63,0.48
KHNYN,day 13,0.88,0.89
KHNYN,day 21,1,1.8
KHSRP,day 5,-1.22,-0.39
KHSRP,day 13,-1.11,0.1
KHSRP,day 21,-0.54,0.94
KIF1C,day 5,-0.23,0.23
KIF1C,day 13,-0.24,0.77
KIF1C,day 21,1.01,0.93
KIN,day 5,0.78,0.42
KIN,day 13,0.28,-0.72
KIN,day 21,1.4,-0.86
KMT2C,day 5,0.21,0.18
KMT2C,day 13,0.95,1.42
KMT2C,day 21,1.75,2.35
KNOP1,day 5,-0.72,-0.4
KNOP1,day 13,0.37,0.11
KNOP1,day 21,0.06,0.56
KPNA2,day 5,0.47,0.2
KPNA2,day 13,1.17,-0.37
KPNA2,day 21,0.61,-1.18
KPNB1,day 5,-1.01,-1.76
KPNB1,day 13,-3.12,-6.5
KPNB1,day 21,-2.34,-5.52
KRAS,day 5,0.09,0.18
KRAS,day 13,0.48,0.57
KRAS,day 21,0.68,1.18
KRI1,day 5,0.66,-0.07
KRI1,day 13,-0.58,-3.4
KRI1,day 21,-0.3,-2.65
KRR1,day 5,-1.38,-0.3
KRR1,day 13,-2.26,-4.99
KRR1,day 21,-2.02,-4.21
KRT18,day 5,-1.09,-1
KRT18,day 13,-1.04,-4.98
KRT18,day 21,-0.68,-3.99
KTN1,day 5,0.42,0.36
KTN1,day 13,0.99,1.22
KTN1,day 21,1.84,2.03
KYAT3,day 5,0.16,0.27
KYAT3,day 13,0.25,1.15
KYAT3,day 21,1.67,2.03
L1TD1,day 5,0.58,-0.14
L1TD1,day 13,0.85,1.23
L1TD1,day 21,1.08,2.04
LAGE3,day 5,0.33,0.12
LAGE3,day 13,-0.27,-0.45
LAGE3,day 21,0.06,-0.82
LAMA2,day 5,0.41,0.08
LAMA2,day 13,0.7,0.63
LAMA2,day 21,0.88,1.23
LARP1,day 5,0.49,0.17
LARP1,day 13,0.01,0.65
LARP1,day 21,0.08,0.67
LARP1B,day 5,-0.27,0.08
LARP1B,day 13,0.18,0.1
LARP1B,day 21,-0.38,0.38
LARP4,day 5,0.56,0.17
LARP4,day 13,0.12,0.55
LARP4,day 21,-0.02,0.77
LARP4B,day 5,-0.18,0.26
LARP4B,day 13,0.33,0.96
LARP4B,day 21,0.99,1.32
LARP6,day 5,1.21,0.03
LARP6,day 13,1.12,0.62
LARP6,day 21,1.08,0.93
LARP7,day 5,-0.16,-0.1
LARP7,day 13,-0.28,0
LARP7,day 21,-0.65,-0.14
LARS1,day 5,0.81,0.32
LARS1,day 13,-0.01,-0.17
LARS1,day 21,0.57,0.61
LARS2,day 5,0.2,-0.01
LARS2,day 13,-0.68,-1.06
LARS2,day 21,-0.97,-2.65
LAS1L,day 5,1.05,-0.08
LAS1L,day 13,-0.88,-3.24
LAS1L,day 21,-1.01,-4.06
LASP1,day 5,-0.95,-0.06
LASP1,day 13,-0.58,0.29
LASP1,day 21,0.46,0.68
LBR,day 5,-0.4,0.03
LBR,day 13,0.91,1.18
LBR,day 21,1.56,1.96
LCMT2,day 5,0.26,-0.02
LCMT2,day 13,0.7,1.14
LCMT2,day 21,1.82,2.27
LDHA,day 5,0.42,-0.13
LDHA,day 13,0.57,0.69
LDHA,day 21,1.11,1.48
LDHB,day 5,-0.63,-0.26
LDHB,day 13,-0.2,0.45
LDHB,day 21,0.78,0.65
LENG9,day 5,0.27,0.39
LENG9,day 13,1.49,1.44
LENG9,day 21,2.23,2.25
LEPR,day 5,-0.05,0.09
LEPR,day 13,0.16,0.25
LEPR,day 21,0.58,0.45
LGALS1,day 5,0.1,0.31
LGALS1,day 13,0.49,1
LGALS1,day 21,1.3,2.03
LGALS2,day 5,0.17,0.26
LGALS2,day 13,1.18,1.21
LGALS2,day 21,1.79,1.99
LGALS3,day 5,-0.18,-0.03
LGALS3,day 13,0.82,0.89
LGALS3,day 21,1.22,1.59
LIMA1,day 5,-0.74,-0.38
LIMA1,day 13,-1.29,-0.55
LIMA1,day 21,-1.65,-0.58
LIN28A,day 5,-0.1,0.39
LIN28A,day 13,-0.83,0.59
LIN28A,day 21,-0.5,1.55
LIN28B,day 5,0.63,0.15
LIN28B,day 13,1.43,1.27
LIN28B,day 21,1.55,1.83
LIN7C,day 5,-1.93,0.4
LIN7C,day 13,0.75,1.09
LIN7C,day 21,0.51,2.33
LLPH,day 5,-0.4,-0.4
LLPH,day 13,-0.61,-1.03
LLPH,day 21,-2.1,-1.4
LMF2,day 5,0.49,0.18
LMF2,day 13,1.55,1.6
LMF2,day 21,1.33,2.07
LMNA,day 5,0.28,0.08
LMNA,day 13,0.27,0.46
LMNA,day 21,0.52,0.89
LOC81691,day 5,1.18,0.14
LOC81691,day 13,-0.39,0.28
LOC81691,day 21,1.29,0.63
LONP1,day 5,0.14,-0.26
LONP1,day 13,-3.14,-4.09
LONP1,day 21,-2.93,-4.83
LRP1,day 5,0.13,-0.02
LRP1,day 13,0.52,0.12
LRP1,day 21,0.65,0.66
LRPPRC,day 5,-0.32,0.3
LRPPRC,day 13,-1.98,-2.12
LRPPRC,day 21,-1.8,-3.53
LRRC47,day 5,0.39,-0.25
LRRC47,day 13,0.04,-0.71
LRRC47,day 21,-0.63,-1.33
LRRC59,day 5,0.05,0.17
LRRC59,day 13,1.08,0.96
LRRC59,day 21,1.41,1.49
LRRFIP1,day 5,0.19,0.27
LRRFIP1,day 13,1.68,1.66
LRRFIP1,day 21,2.27,2.33
LRRFIP2,day 5,-0.11,0.02
LRRFIP2,day 13,1.13,0.7
LRRFIP2,day 21,1.12,0.84
LSG1,day 5,-0.23,-0.03
LSG1,day 13,-2.95,-2.49
LSG1,day 21,-3.37,-3.64
LSM1,day 5,0.92,0.13
LSM1,day 13,0.88,0.31
LSM1,day 21,0.62,0.6
LSM10,day 5,-0.4,0.17
LSM10,day 13,0.15,-0.89
LSM10,day 21,-0.48,-1.43
LSM11,day 5,0.62,0.32
LSM11,day 13,-0.33,-2.25
LSM11,day 21,-0.17,-4.56
LSM12,day 5,0.22,-0.23
LSM12,day 13,-1.54,-0.25
LSM12,day 21,-0.68,-0.46
LSM14A,day 5,0.06,0.35
LSM14A,day 13,0.84,1.12
LSM14A,day 21,0.78,1.09
LSM14B,day 5,0.54,-0.11
LSM14B,day 13,0.51,0.24
LSM14B,day 21,0.15,-0.32
LSM2,day 5,0.81,-1.16
LSM2,day 13,-1.5,-5.26
LSM2,day 21,-0.46,-4.28
LSM3,day 5,-0.03,-0.23
LSM3,day 13,-2.87,-1.66
LSM3,day 21,-3.23,-3.13
LSM4,day 5,-0.58,-0.46
LSM4,day 13,-2.8,-5.95
LSM4,day 21,-2.7,-5.91
LSM5,day 5,-0.59,-0.4
LSM5,day 13,-3.84,-4.32
LSM5,day 21,-3.12,-4.22
LSM6,day 5,0.25,-0.9
LSM6,day 13,-2.46,-5.52
LSM6,day 21,-1.74,-4.53
LSM7,day 5,-0.74,-0.8
LSM7,day 13,-2.14,-5.92
LSM7,day 21,-2.06,-4.95
LSM8,day 5,-0.39,-0.37
LSM8,day 13,-1.92,-4.32
LSM8,day 21,-0.6,-4.41
LTA4H,day 5,0.3,0.26
LTA4H,day 13,0.71,1.12
LTA4H,day 21,1.57,1.55
LUC7L,day 5,-0.11,0.07
LUC7L,day 13,-0.93,0.75
LUC7L,day 21,-0.22,1.18
LUC7L2,day 5,-0.46,-0.33
LUC7L2,day 13,-0.07,-0.1
LUC7L2,day 21,-1.45,-1.39
LUC7L3,day 5,-0.04,0.03
LUC7L3,day 13,-1.68,-3.33
LUC7L3,day 21,-1.99,-4.13
LUZP4,day 5,-0.21,0.23
LUZP4,day 13,0.63,1.22
LUZP4,day 21,1.25,1.81
LYAR,day 5,-0.17,0.27
LYAR,day 13,0.81,1.43
LYAR,day 21,1.77,2.11
MACF1,day 5,0.09,-0.06
MACF1,day 13,-0.12,0.25
MACF1,day 21,0.78,0.62
MACROH2A1,day 5,0.02,0.17
MACROH2A1,day 13,1.08,0.98
MACROH2A1,day 21,1.12,1.63
MAEL,day 5,0.26,0.22
MAEL,day 13,0.11,0.79
MAEL,day 21,0.73,1.42
MAGOH,day 5,0.89,-0.1
MAGOH,day 13,0.2,-0.75
MAGOH,day 21,-0.4,-1.26
MAGOHB,day 5,-0.58,-0.25
MAGOHB,day 13,-0.86,-0.74
MAGOHB,day 21,-0.54,-0.5
MAK16,day 5,-1.75,-0.41
MAK16,day 13,-3.01,-5.39
MAK16,day 21,-1.98,-4.89
MANF,day 5,0.36,0.1
MANF,day 13,-0.06,0.19
MANF,day 21,-0.52,0.5
MAP1B,day 5,0.01,0.51
MAP1B,day 13,0.28,0.16
MAP1B,day 21,0.28,1.12
MAP2,day 5,-0.17,-0.12
MAP2,day 13,0.69,0.88
MAP2,day 21,-0.61,1.57
MAP4,day 5,0.3,-0.16
MAP4,day 13,0.4,0.63
MAP4,day 21,1.12,0.81
MAPRE1,day 5,-0.13,0.38
MAPRE1,day 13,-0.08,1.15
MAPRE1,day 21,-0.02,1.68
MAPT,day 5,0.23,-0.12
MAPT,day 13,0.04,-0.04
MAPT,day 21,-0.22,-0.06
MARF1,day 5,0.36,0.09
MARF1,day 13,1.11,1.19
MARF1,day 21,1.88,1.48
MARK2,day 5,-0.09,0.22
MARK2,day 13,0.41,1.29
MARK2,day 21,0.74,1.8
MARS1,day 5,0.23,-0.18
MARS1,day 13,-3.21,-4.55
MARS1,day 21,-2.49,-5.22
MARS2,day 5,0.22,-0.04
MARS2,day 13,-1.58,-2.57
MARS2,day 21,-1.69,-4.97
MAT1A,day 5,0.07,0.21
MAT1A,day 13,0.74,0.86
MAT1A,day 21,1.19,1.86
MAT2A,day 5,-0.81,-0.16
MAT2A,day 13,-1.66,-0.81
MAT2A,day 21,-1.85,-2.05
MATR3,day 5,-0.04,0.01
MATR3,day 13,0.24,0.88
MATR3,day 21,0.23,0.92
MAZ,day 5,0.47,0.04
MAZ,day 13,0.69,0.9
MAZ,day 21,1.16,1.11
MBNL1,day 5,0.26,0.01
MBNL1,day 13,0.99,0.61
MBNL1,day 21,1.27,0.96
MBNL2,day 5,0.34,-0.44
MBNL2,day 13,0.85,0.88
MBNL2,day 21,1.41,1.38
MBNL3,day 5,-0.23,0.04
MBNL3,day 13,1.2,0.69
MBNL3,day 21,1.5,0.9
MCAT,day 5,0.32,0.05
MCAT,day 13,0.24,-0.65
MCAT,day 21,-1.35,-2.6
MCHERRY,day 5,-0.16,0.32
MCHERRY,day 13,0.97,1.49
MCHERRY,day 21,1.45,2.05
MCRIP2,day 5,-0.07,0.12
MCRIP2,day 13,0.14,0.84
MCRIP2,day 21,0.62,1
MCTS1,day 5,0.29,0.24
MCTS1,day 13,0.89,0.94
MCTS1,day 21,0.87,1.49
MDC1,day 5,-0.6,-0.56
MDC1,day 13,-0.3,-0.78
MDC1,day 21,-0.24,-1.61
MDH1,day 5,0.25,0.13
MDH1,day 13,0.99,0.93
MDH1,day 21,1.73,1.74
MDH2,day 5,0.08,0.15
MDH2,day 13,0.35,0.42
MDH2,day 21,-0.7,0.41
MECP2,day 5,-0.57,-0.05
MECP2,day 13,0.41,1.21
MECP2,day 21,1.05,1.5
MEPCE,day 5,-0.5,-0.38
MEPCE,day 13,-0.85,-1.36
MEPCE,day 21,-0.64,-2.46
MET,day 5,0.68,0.25
MET,day 13,1.97,1.43
MET,day 21,2.57,2.23
METAP2,day 5,-0.22,0.29
METAP2,day 13,-0.99,-0.86
METAP2,day 21,-2.08,-2.91
METTL1,day 5,0.55,0.69
METTL1,day 13,0.99,1.17
METTL1,day 21,1.05,0.98
METTL14,day 5,-0.22,0.15
METTL14,day 13,-0.84,-1.57
METTL14,day 21,-0.87,-3.38
METTL15,day 5,-0.74,0.07
METTL15,day 13,0.45,0.63
METTL15,day 21,0.77,0.84
METTL16,day 5,-0.11,0.23
METTL16,day 13,-2.28,-1.75
METTL16,day 21,-1.89,-2.39
METTL25B,day 5,0.23,0.39
METTL25B,day 13,0.74,0.75
METTL25B,day 21,0.4,1.04
METTL2A,day 5,-0.97,-0.72
METTL2A,day 13,-0.23,-0.84
METTL2A,day 21,-0.37,-1.21
METTL2B,day 5,0.45,-0.11
METTL2B,day 13,0.67,0.48
METTL2B,day 21,1.01,0.84
METTL3,day 5,-0.21,-0.16
METTL3,day 13,-1.37,-2.03
METTL3,day 21,-1.15,-1.77
METTL4,day 5,-0.03,0.2
METTL4,day 13,1.51,1.54
METTL4,day 21,1.67,2.25
METTL5,day 5,0.42,0.33
METTL5,day 13,0.77,1.08
METTL5,day 21,0.44,1.39
METTL6,day 5,1.22,0.06
METTL6,day 13,1.3,1.33
METTL6,day 21,2.22,2.45
METTL8,day 5,0.07,0.17
METTL8,day 13,0.94,0.7
METTL8,day 21,1.04,1.22
MEX3A,day 5,-0.14,0.25
MEX3A,day 13,-0.29,1.15
MEX3A,day 21,0.81,1.85
MEX3B,day 5,-0.01,0.19
MEX3B,day 13,0.73,1.1
MEX3B,day 21,1.08,1.51
MEX3C,day 5,0.35,0.22
MEX3C,day 13,1.7,1.38
MEX3C,day 21,2.01,2.12
MEX3D,day 5,0.5,0.51
MEX3D,day 13,1.05,1.58
MEX3D,day 21,1.84,2.53
MFAP1,day 5,-0.66,-1.04
MFAP1,day 13,-3.09,-3.61
MFAP1,day 21,-3.32,-4.88
MGST1,day 5,0.51,0.21
MGST1,day 13,1.45,1.18
MGST1,day 21,2.22,1.97
MIF4GD,day 5,-0.26,0.2
MIF4GD,day 13,0.56,1.14
MIF4GD,day 21,0.92,1.92
MKI67,day 5,-0.71,0.19
MKI67,day 13,-0.06,0.72
MKI67,day 21,0.67,1
MKRN1,day 5,-0.16,0.08
MKRN1,day 13,0.96,0.85
MKRN1,day 21,1.3,1.3
MKRN2,day 5,0.51,0.18
MKRN2,day 13,1.68,1.15
MKRN2,day 21,1.91,1.72
MKRN3,day 5,-0.04,-0.1
MKRN3,day 13,0.46,0.57
MKRN3,day 21,0.11,0.6
MMAA,day 5,-0.42,-0.36
MMAA,day 13,-0.36,-0.22
MMAA,day 21,0.31,0.4
MNEONGREEN,day 5,0.95,-0
MNEONGREEN,day 13,1.88,1.13
MNEONGREEN,day 21,2.07,1.62
MOCS3,day 5,0.65,0.4
MOCS3,day 13,-0.01,-1.21
MOCS3,day 21,-2,-2.98
MOV10,day 5,0.45,0.21
MOV10,day 13,0.88,0.49
MOV10,day 21,1.62,1.37
MOV10L1,day 5,-0.01,0.22
MOV10L1,day 13,1.06,1.57
MOV10L1,day 21,1.63,2.16
MPHOSPH10,day 5,-1.04,-0.79
MPHOSPH10,day 13,-0.54,-3.03
MPHOSPH10,day 21,0.16,-2.05
MPHOSPH6,day 5,-0.54,-0.38
MPHOSPH6,day 13,-0.48,-0.52
MPHOSPH6,day 21,0.95,-0.27
MPP4,day 5,-0.56,0.1
MPP4,day 13,0.75,0.48
MPP4,day 21,1.56,0.94
MPST,day 5,-0.36,0.19
MPST,day 13,0.56,1.17
MPST,day 21,1.69,1.88
MRM1,day 5,-0.18,-0.4
MRM1,day 13,-0.94,-0.92
MRM1,day 21,0.07,-1.04
MRM2,day 5,0.61,0.31
MRM2,day 13,-2.13,-1.47
MRM2,day 21,-2.77,-4.78
MRM3,day 5,0.38,0.19
MRM3,day 13,1.34,-0.35
MRM3,day 21,-0.42,-1.09
MRPL1,day 5,0.39,-0.31
MRPL1,day 13,0.31,0.02
MRPL1,day 21,-0.14,0.04
MRPL10,day 5,-0.42,-0.09
MRPL10,day 13,-1.91,-2.4
MRPL10,day 21,-3.62,-2.84
MRPL11,day 5,-0.18,0.34
MRPL11,day 13,-0.65,-1.48
MRPL11,day 21,-1.53,-2.75
MRPL12,day 5,-0.2,0.11
MRPL12,day 13,-1.36,-1.51
MRPL12,day 21,-1.64,-1.6
MRPL13,day 5,-0.57,-0.59
MRPL13,day 13,-1.43,-2.23
MRPL13,day 21,-2.52,-4.38
MRPL14,day 5,0.71,-0.48
MRPL14,day 13,-1.29,-3.71
MRPL14,day 21,-1.46,-4.42
MRPL15,day 5,-0.37,-0.01
MRPL15,day 13,-1.36,-1.59
MRPL15,day 21,-1.65,-1.98
MRPL16,day 5,-0.19,-0.28
MRPL16,day 13,-0.85,-2.69
MRPL16,day 21,-1.14,-3.37
MRPL17,day 5,-0.23,-0.27
MRPL17,day 13,-0.78,-2.98
MRPL17,day 21,-1.71,-4.29
MRPL18,day 5,-0.12,-0.41
MRPL18,day 13,-1.78,-2.87
MRPL18,day 21,-2.38,-5.08
MRPL19,day 5,-0.22,-0.29
MRPL19,day 13,-1.57,-2.74
MRPL19,day 21,-1.69,-4.01
MRPL2,day 5,0.04,-0.17
MRPL2,day 13,-1.81,-1.65
MRPL2,day 21,-1.18,-2.35
MRPL20,day 5,-0.85,0.01
MRPL20,day 13,-3,-2.78
MRPL20,day 21,-2.92,-4.52
MRPL21,day 5,-0.52,-0.43
MRPL21,day 13,-2.21,-1.74
MRPL21,day 21,-2.02,-3.51
MRPL22,day 5,0.4,0.09
MRPL22,day 13,-1.52,-1.68
MRPL22,day 21,-1.97,-2.72
MRPL23,day 5,-1.08,0.27
MRPL23,day 13,-3.98,-2.18
MRPL23,day 21,-3.47,-4.5
MRPL24,day 5,-0.33,0.33
MRPL24,day 13,-1.7,-0.84
MRPL24,day 21,-2.41,-2.61
MRPL27,day 5,0.55,-0.36
MRPL27,day 13,-1.53,-2.21
MRPL27,day 21,-2.66,-3.74
MRPL28,day 5,-1.46,0.27
MRPL28,day 13,-1.25,-2.1
MRPL28,day 21,-3.55,-4.55
MRPL3,day 5,-0.89,-0.38
MRPL3,day 13,-3.17,-2.63
MRPL3,day 21,-3.07,-4.73
MRPL30,day 5,-0.49,-0.14
MRPL30,day 13,-2.84,-2.26
MRPL30,day 21,-3.24,-2.41
MRPL32,day 5,-0.31,0.08
MRPL32,day 13,-0.98,-1.28
MRPL32,day 21,-1.85,-3.35
MRPL33,day 5,-0.61,-0.35
MRPL33,day 13,-2.58,-3.03
MRPL33,day 21,-2.79,-4.89
MRPL34,day 5,-0.32,-0.41
MRPL34,day 13,-1.23,-2.94
MRPL34,day 21,-0.61,-3.35
MRPL35,day 5,0.1,-0.18
MRPL35,day 13,-1.16,-1.6
MRPL35,day 21,-1.08,-2.13
MRPL36,day 5,0.21,0.04
MRPL36,day 13,-0.75,-1.73
MRPL36,day 21,-0.65,-2.54
MRPL37,day 5,-0.33,-0.63
MRPL37,day 13,-2.15,-3.47
